"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reports & Analytics","0","Overall Summary Report","1","0","Data Presentation","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Dropdown Configuration","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - Unregistered Account","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Status Configuration","0"
"0","Reports & Analytics","0","Overall Summary Report","1","0","Overall Summary Report Actions","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","3","0","Negative Validations","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - Empty Email Validation","0"
"0","Reports & Analytics","0","Report Export & Download Management","1","0","Advance Filters Dialog","0"
"0","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","1","0","Database Pre-cleanup","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Follow-Up Validation","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - Email Clear Interaction","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","History Verification","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - Email Format Validation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Column Sorting","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Database Persistence","0"
"0","Reports & Analytics","0","Overall Summary Report","1","0","Report Module Navigation","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Negative Validation - Blank Submission","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Demo Scheduling Stage","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","1","0","Listing Search & Verification","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Lead Creation","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","1","0","Form Population","0"
"0","Reports & Analytics","0","Report Export & Download Management","1","0","Report Navigation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","History Modal Navigation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Follow-Up Submission","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Search Validation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Query Sanitization","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Demo Scheduling Disposition","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Pagination","0"
"0","Payments & Billing","1","Generate Payment Link & Prospect Creation Flow","0","0","Prospect Creation","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","Data Synchronization Validation","0"
"0","Reports & Analytics","0","Report Export & Download Management","1","0","Report Generation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Lead Listing","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","1","0","Lead Listing","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","KPI Metrics Rendering","0"
"1","Payments & Billing","1","Generate Payment Link & Prospect Creation Flow","0","0","TDS Deduction","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","Lead Listing Data Extraction","0"
"0","Reports & Analytics","0","Report Export & Download Management","1","0","Generation Status","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","1","0","Enquiry Creation API","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","Dashboard Section Rendering","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Dashboard Navigation","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","History Grid Verification","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","Interactive Navigation","0"
"0","Payments & Billing","1","Generate Payment Link & Prospect Creation Flow","0","0","Payment Link Generation","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Ticket Submission","0"
"0","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","1","0","Payments Navigation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Discard Flow","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","KPI Data Extraction","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","1","0","Enquiry to Lead Conversion","0"
