"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Poll the reports listing row until status becomes 'Completed' and format shows 'XLSX'.","12602","TC-DOWNLOAD-006: Poll and Verify Report Generation Status ('Completed' & 'XLSX')","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Enter draft remarks, close/cancel modal, re-open modal, and verify unsaved draft was discarded.","3416","TC-RENEWAL-009: Verify Follow-Up Modal Cancellation Discards Unsaved Input","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Reset existing payment prospect records in PostgreSQL for mobile 9811511401 and rohitsolanki1170@gmail.com.","182","TC-PAYMENT-001: Execute Database Pre-cleanup for Target Mobile & Email","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"","506","TC-LEAD-002: Open Create Lead Modal & Verify Input Fields Rendered","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify that user can navigate to the Report listing module and URL reflects /report.","6137","TC-REP-001: Verify Successful Navigation to Report Module & Page URL","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Enter invalid email format (missing domain) and verify submission is blocked.","1512","TC-PAYMENT-NEG-03: Verify Invalid Email Format Rejection","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Enter 5-digit incomplete mobile number and verify submission is blocked.","1539","TC-PAYMENT-NEG-02: Verify Incomplete Mobile Number (<10 Digits) Rejection","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Copy' button and assert clipboard confirmation.","982","TC-PAYMENT-013: Copy Generated Payment Link to Clipboard & Verify Confirmation","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Find the 'Overall Summary' row in the reports listing and click its 'View Report' button.","453","TC-REP-002: Locate 'Overall Summary' Row and Open 'View Report'","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Click Dashboard menu item from main navigation and assert URL.","450","TC-SUPPORT-007: Navigate to Support Dashboard & Verify Landing URL","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Execute /auth/v1/enquiry/enquiryToLead endpoint after ensuring state is ready_to_convert.","175","TC-ENQ-005: Trigger Enquiry-to-Lead Conversion API","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Click 'Download Report' icon button for Overall Summary and verify modal opens.","508","TC-DOWNLOAD-002: Open 'Advance Filters' Dialog for Overall Summary","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Click '+' button on Basic - Single User plan to increment quantity to 1.","2031","TC-PAYMENT-008: Add Quantity 1 to 'Basic - Single User' Plan (Rs. 11,000)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Query PostgreSQL to verify that enquiry is processed and lead state is updated.","15","TC-ENQ-006: Verify Final Lead Record State in Database","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Select 360 Days duration and assert plans grid is displayed.","856","TC-PAYMENT-007: Activate '360 Days' Plan Duration & Verify Plans Grid Rendering","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click Download button, save Excel file to disk, and verify file existence and non-zero size.","571","TC-DOWNLOAD-007: Download Physical Excel File to Disk & Validate Integrity","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Verify that the 'Tasks for Today' header / section is rendered and visible on dashboard.","7","TC-DASH-002: Verify 'Tasks for Today' Dashboard Section Visibility","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Fill valid problem description and solution provided textboxes.","936","TC-SUPPORT-001: Fill Problem and Solution Descriptions","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"","16","TC-LEAD-001: Verify Navigation to Lead Module and Listing Table Load","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Assert Taxable Amount, GST (18%), and initial Grand Total before TDS deduction.","20","TC-PAYMENT-009: Verify Initial Order Summary Pricing (Taxable: Rs. 11,000, GST: Rs. 1,980, Pre-TDS: Rs. 12,980)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click Deduct TDS switch and assert confirmation modal appears.","1702","TC-PAYMENT-010: Trigger 'Deduct TDS' Toggle & Verify 'Confirm TDS Deduction' Modal","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Call /auth/v1/enquiry/sanitize/v2/ to trigger sanitization on the enquiry.","1389","TC-ENQ-003: Trigger Enquiry Sanitization API","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"","1998","TC-DEMO-NEG-02: [Negative] Validate Mobile Number Field with Short Invalid Length (<10 digits)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify that the 'BIPL Generated' data metric section is present in the table.","15011","TC-REP-006: Validate 'BIPL Generated' Metric Column & Section Presence","tests.latest_tests","2026-09-05","failed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Locate Dashboard KPI metrics table, assert visibility, and capture DOM structure.","18","TC-DASH-003: Verify Dashboard KPI Metrics Table Rendering & Structure","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Click the Excel icon button to trigger generation and close dialog.","1499","TC-DOWNLOAD-005: Trigger Excel Report Generation from Advance Filters Modal","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Click 'Update' button and assert success toast.","470","TC-SUPPORT-005: Submit Support Ticket & Verify Toast Notification","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Select 'Demo Scheduled' from the Stage dropdown on Lead Details dialog.","1754","TC-DEMO-003: Update Lead Stage to 'Demo Scheduled'","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Click 'Back to listing' button and assert return to /payments/listing.","486","TC-PAYMENT-014: Navigate 'Back to listing' & Assert Payments Listing Screen","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Assert that no error alerts, crashes, or 'Something went wrong' states exist on the report page.","5","TC-REP-003: Verify Absence of System Errors, 500 Banners & Broken State","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Fill Address and Pincode 781037; verify City (Kamrup) and State (Assam) auto-fill.","2641","TC-PAYMENT-005: Fill Billing Address & Verify Pincode Auto-Populates City & State","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"","1997","TC-DEMO-NEG-01: [Negative] Validate Form Submission Blocked with Empty Mobile","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Fill valid target mobile, contact person, and remarks, then submit.","2529","TC-DEMO-002: Open Create Lead Modal and Submit Valid Details","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Extract Subscription ID from the top row, open Follow Up Update modal, and verify details.","1734","TC-RENEWAL-007: Extract Top Row Subscription ID & Open Follow-Up Modal","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Query PostgreSQL database to assert lead record is stored for target mobile.","2051","TC-DEMO-006: Verify Record Persistence in PostgreSQL Database","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Extract numeric Total Lead count from the KPI metrics table and assert it is a valid integer.","5668","TC-DASH-004: Extract and Validate Total Lead Count from KPI Table","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Open History modal, switch to Follow Up History tab, and assert newly created follow-up card.","3325","TC-RENEWAL-015: Open History Modal & Verify Follow-Up Record and Remarks","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"","661","TC-LEAD-004: Submit Create Lead Form and Verify 'Lead Details' Confirmation","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Select configured Disposition and Sub-Disposition options.","1852","TC-SUPPORT-003: Configure Disposition and Sub-Disposition","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verify that the newly inserted enquiry appears in PostgreSQL with initial 'pending' status.","25","TC-ENQ-002: Verify Created Enquiry Exists in DB with Initial State","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"","1953","TC-DEMO-NEG-03: [Negative] Verify Create Lead Modal Dismissal via Close Button","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify that 'Follow Up Hygiene (Assigned to First Follow Up)' is present in the table.","15020","TC-REP-008: Validate 'Follow Up Hygiene (Assigned to First Follow Up)' Metric Section","tests.latest_tests","2026-09-05","failed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Clear search input and verify listing table restores and displays records.","2494","TC-RENEWAL-013: Clear Search Filter and Verify Full Lead Listing Restores","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that submitting an empty Add Support form triggers mandatory validation and prevents submission.","495","TC-SUPPORT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Switch between various date ranges and product filters on the dashboard and verify table stability without errors.","6443","TC-RENEWAL-002: Verify Dynamic Date & Product Filter Switching on Renewal Dashboard","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Select 'BIPL' for Generated By and apply Date Range via 'Done' button.","5764","TC-DOWNLOAD-004: Configure 'Generated By' & 'Date Range' Filters","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Locate 'All (N)' tab on the Leads listing page, parse numeric count using regex.","14","TC-DASH-006: Extract Lead Count from 'All' Tab on Leads Listing Page","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Attempt to submit Follow-Up modal without selecting Call Disposition and assert submission is prevented.","135","TC-RENEWAL-008: Verify Mandatory Validation when Saving Follow-Up without Call Disposition","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that the user navigates to the Report module and reports listing table is visible.","9445","TC-DOWNLOAD-001: Navigate to Report Module and Verify Listing View","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Enquiry creation accepts empty/missing mobile with 200, and sanitization API fails validation.","316","TC-ENQ-007: [Negative] Create Enquiry with Missing Mobile and Assert Failure at Sanitization API","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Click 'Send Payment Link' button and assert 'Payment Link Generated' modal appears.","1827","TC-PAYMENT-012: Trigger 'Send Payment Link' and Verify Generated Dialog","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Assert prospect row in listing table with Customer, Product, Amount 11880.00, and Status Payment Pending.","23","TC-PAYMENT-015: Verify Created Payment Record (Amount: 11880.00, Status: Payment Pending) in Listing Grid","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Perform database pre-cleanup and call /API/enquiry/create/ with configured payload & headers.","4703","TC-ENQ-001: DB Pre-cleanup and Create Enquiry via REST API","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that authenticated user lands on /dashboard without redirection to login.","8","TC-DASH-001: Verify Dashboard Authentication & Landing URL","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Navigate across other tabs in the History dialog (Status History / Audit logs) and close cleanly.","1049","TC-RENEWAL-016: Navigate History Modal Tabs and Close Cleanly","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Click table column headers (Company Name / Expiry Date) to test sorting and ensure table re-renders cleanly.","1362","TC-RENEWAL-006: Verify Sortable Columns on Renewal Lead Listing Table","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Navigate to Renewal Dashboard (/dashboard/renewal), apply 'This Month' and 'Desktop' filters, verify key KPI tables and metrics are rendered, and scan for any red error messages or anomalies.","6421","TC-RENEWAL-001: Verify Renewal Dashboard UI, Filters, Metrics & Error Absence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Select 'Follow Up - Customer' from Call Disposition dropdown.","1465","TC-DEMO-004: Select Call Disposition ('Follow Up - Customer')","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Trigger /enquiryToLead when enquiry is in 'pending' state without waiting for sanitization.","5248","TC-ENQ-010: [Negative] Trigger Conversion when State is 'pending'","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Select 'CRM SUPER ADMIN' for Assigned To and '3M Infocare' for Partner Name.","7410","TC-DOWNLOAD-003: Configure 'Assigned To' & 'Partner Name' Filters","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Search with a non-existent 10-digit Subscription ID ('0000000000') and verify empty state display.","3961","TC-RENEWAL-011: Search Renewal Listing with Non-Existent Subscription ID","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that the primary Overall Summary data table loads and is visible.","90035","TC-REP-004: Verify Overall Summary Main Data Table Rendering","tests.latest_tests","2026-09-05","failed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that entering an incomplete/short customer mobile number (<10 digits) blocks submission.","922","TC-SUPPORT-NEG-02: Verify Invalid/Short Customer Mobile Rejection","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Send enquiry create request without client/secret headers and assert unauthorized.","123","TC-ENQ-008: [Negative] Create Enquiry with Missing / Invalid Authorization Headers","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Search with special characters and SQL injection payload strings, asserting system handles them safely without UI crash.","2497","TC-RENEWAL-012: Search Renewal Listing with Special Characters and Injection Strings","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that Customer Name, Disposition, and Sub Disposition appear in the history grid.","12","TC-SUPPORT-006: Verify Newly Created Ticket in Support History Grid","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
